"time","health"
9195,76.7268619
9200,76.7268619
9205,60.6781538
9210,75.3987119
9215,71.2400571
9220,68.5623552
9225,61.7733473
9230,64.301448
9235,78.1073804
9240,73.9996801
9245,68.6349237
9250,65.836446
9255,68.5252478
9260,68.5252478
9265,70.0463078
9270,61.8979005
9275,71.3051112
9280,68.6220159
9285,67.2980978
9290,67.2980978
9295,78.1709094
9300,78.1709094
9305,78.1709094
9310,63.2454627
9315,63.2454627
9320,63.2875393
9325,63.2875393
9330,63.2875393
9335,65.9275581
9340,61.8846392
9345,66.0483339
9350,66.0483339
9355,75.5975304
9360,70.1379047
9365,70.1379047
9370,70.1379047
9375,70.1379047
9380,70.1379047
9385,70.1379047
9390,66.1423548
9395,66.1423548
9400,66.1423548
9405,71.5550761
9410,75.3100339
9415,75.3100339
9420,75.3100339
9425,75.3100339
9430,75.3100339
9435,64.7599678
9440,64.7599678
9445,59.3894342
9450,71.7643784
9455,74.3461303
9460,74.3461303
9465,74.3461303
9470,63.5093959
9475,63.5093959
9480,90.6307542
9485,90.6307542
9490,90.6307542
9495,90.6307542
9500,90.6307542
9505,67.5570315
9510,75.6864306
9515,65.874826
9520,65.874826
9525,67.5602837
9530,67.5602837
9535,67.5602837
9540,67.5602837
9545,67.5602837
9550,67.5602837
9555,74.1160624
9560,76.8934109
9565,76.8934109
9570,71.4264122
9575,71.4264122
9580,71.4264122
9585,71.4264122
9590,71.4264122
9595,71.4264122
9600,67.4353063
9605,67.4353063
9610,67.3862607
9615,63.2282422
9620,74.0896711
9625,74.1547757
9630,63.2762778
9635,72.7004464
9640,67.2627478
9645,69.9523576
9650,78.1404276
9655,80.8713666
9660,80.8713666
9665,80.8713666
9670,80.8713666
9675,68.6975336
9680,68.6975336
9685,68.6975336
9690,71.3347648
9695,71.3347648
9700,71.3347648
9705,72.7583598
9710,72.7583598
9715,72.7583598
9720,72.7583598
9725,67.2685452
9730,79.4774555
9735,80.8616605
9740,76.769595
9745,72.9400285
9750,84.8578467
9755,88.9219049
